champ;url
Sion.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Sion.png
Sivir.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Sivir.png
Skarner.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Skarner.png
Sona.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Sona.png
Soraka.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Soraka.png
Swain.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Swain.png
Sylas.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Sylas.png
Syndra.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Syndra.png
TahmKench.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/TahmKench.png
Taliyah.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Taliyah.png
Talon.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Talon.png
Taric.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Taric.png
Teemo.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Teemo.png
Thresh.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Thresh.png
Tristana.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Tristana.png
Trundle.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Trundle.png
Tryndamere.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Tryndamere.png
TwistedFate.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/TwistedFate.png
Twitch.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Twitch.png
Udyr.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Udyr.png
Urgot.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Urgot.png
Varus.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Varus.png
Vayne.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Vayne.png
Veigar.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Veigar.png
Velkoz.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Velkoz.png
Vi.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Vi.png
Viktor.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Viktor.png
Vladimir.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Vladimir.png
Volibear.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Volibear.png
Warwick.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Warwick.png
MonkeyKing.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/MonkeyKing.png
Xayah.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Xayah.png
Xerath.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Xerath.png
XinZhao.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/XinZhao.png
Yasuo.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Yasuo.png
Yorick.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Yorick.png
Yuumi.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Yuumi.png
Zac.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Zac.png
Zed.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Zed.png
Ziggs.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Ziggs.png
Zilean.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Zilean.png
Zoe.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Zoe.png
Zyra.png;ddragon.leagueoflegends.com/cdn/10.11.1/img/champion/Zyra.png
